Day,State,Status,N
11,WA,Killed,9
11,WA,Healed,537
11,WA,Suscep,1541151
11,WA,NoSymp,17
11,WA,InSymp,30
11,WA,Critic,4
11,WA,Isolated,39
11,SA,Killed,4
11,SA,Healed,432
11,SA,Suscep,2239583
11,SA,NoSymp,9
11,SA,InSymp,21
11,SA,Critic,2
11,SA,Isolated,12
11,TAS,Killed,14
11,TAS,Healed,213
11,TAS,Suscep,459495
11,TAS,NoSymp,264
11,TAS,InSymp,185
11,TAS,Critic,13
11,TAS,Isolated,182
11,ACT,Killed,3
11,ACT,Healed,103
11,ACT,Suscep,183832
11,ACT,NoSymp,0
11,ACT,InSymp,0
11,ACT,Critic,0
11,ACT,Isolated,0
11,NT,Killed,0
11,NT,Healed,28
11,NT,Suscep,359537
11,NT,NoSymp,0
11,NT,InSymp,13
11,NT,Critic,2
11,NT,Isolated,3
11,OTH,Killed,0
11,OTH,Healed,0
11,OTH,Suscep,3246
11,OTH,NoSymp,0
11,OTH,InSymp,0
11,OTH,Critic,0
11,OTH,Isolated,0
12,NSW,Killed,42
12,NSW,Healed,3196
12,NSW,Suscep,6855269
12,NSW,NoSymp,2336
12,NSW,InSymp,1726
12,NSW,Critic,158
12,NSW,Isolated,2963
12,VIC,Killed,18
12,VIC,Healed,1408
12,VIC,Suscep,5450176
12,VIC,NoSymp,511
12,VIC,InSymp,283
12,VIC,Critic,24
12,VIC,Isolated,444
12,QLD,Killed,7
12,QLD,Healed,1062
12,QLD,Suscep,4255584
12,QLD,NoSymp,241
12,QLD,InSymp,136
12,QLD,Critic,16
12,QLD,Isolated,302
12,WA,Killed,9
12,WA,Healed,541
12,WA,Suscep,1541148
12,WA,NoSymp,15
12,WA,InSymp,28
12,WA,Critic,3
12,WA,Isolated,43
12,SA,Killed,4
12,SA,Healed,433
12,SA,Suscep,2239580
12,SA,NoSymp,8
12,SA,InSymp,17
12,SA,Critic,0
12,SA,Isolated,21
12,TAS,Killed,14
12,TAS,Healed,228
12,TAS,Suscep,459472
12,TAS,NoSymp,218
12,TAS,InSymp,152
12,TAS,Critic,13
12,TAS,Isolated,269
12,ACT,Killed,3
12,ACT,Healed,103
12,ACT,Suscep,183832
12,ACT,NoSymp,0
12,ACT,InSymp,0
12,ACT,Critic,0
12,ACT,Isolated,0
12,NT,Killed,0
12,NT,Healed,28
12,NT,Suscep,359536
12,NT,NoSymp,0
12,NT,InSymp,10
12,NT,Critic,3
12,NT,Isolated,6
12,OTH,Killed,0
12,OTH,Healed,0
12,OTH,Suscep,3246
12,OTH,NoSymp,0
12,OTH,InSymp,0
12,OTH,Critic,0
12,OTH,Isolated,0
13,NSW,Killed,42
13,NSW,Healed,3468
13,NSW,Suscep,6854796
13,NSW,NoSymp,2205
13,NSW,InSymp,1469
13,NSW,Critic,123
13,NSW,Isolated,3587
13,VIC,Killed,18
13,VIC,Healed,1446
13,VIC,Suscep,5450122
13,VIC,NoSymp,355
13,VIC,InSymp,238
13,VIC,Critic,19
13,VIC,Isolated,666
13,QLD,Killed,7
13,QLD,Healed,1074
13,QLD,Suscep,4255576
13,QLD,NoSymp,210
13,QLD,InSymp,140
13,QLD,Critic,19
13,QLD,Isolated,322
13,WA,Killed,9
13,WA,Healed,543
13,WA,Suscep,1541147
13,WA,NoSymp,16
13,WA,InSymp,24
13,WA,Critic,3
13,WA,Isolated,45
13,SA,Killed,4
13,SA,Healed,435
13,SA,Suscep,2239578
13,SA,NoSymp,7
13,SA,InSymp,6
13,SA,Critic,0
13,SA,Isolated,33
13,TAS,Killed,14
13,TAS,Healed,251
13,TAS,Suscep,459444
13,TAS,NoSymp,158
13,TAS,InSymp,140
13,TAS,Critic,11
13,TAS,Isolated,348
13,ACT,Killed,3
13,ACT,Healed,103
13,ACT,Suscep,183832
13,ACT,NoSymp,0
13,ACT,InSymp,0
13,ACT,Critic,0
13,ACT,Isolated,0
13,NT,Killed,0
13,NT,Healed,31
13,NT,Suscep,359535
13,NT,NoSymp,0
13,NT,InSymp,6
13,NT,Critic,2
13,NT,Isolated,9
13,OTH,Killed,0
13,OTH,Healed,0
13,OTH,Suscep,3246
13,OTH,NoSymp,0
13,OTH,InSymp,0
13,OTH,Critic,0
13,OTH,Isolated,0
14,NSW,Killed,43
14,NSW,Healed,3722
14,NSW,Suscep,6854483
14,NSW,NoSymp,1940
14,NSW,InSymp,1255
14,NSW,Critic,118
14,NSW,Isolated,4129
14,VIC,Killed,18
14,VIC,Healed,1485
14,VIC,Suscep,5450070
14,VIC,NoSymp,227
14,VIC,InSymp,211
14,VIC,Critic,18
14,VIC,Isolated,835
14,QLD,Killed,7
14,QLD,Healed,1093
14,QLD,Suscep,4255567
14,QLD,NoSymp,162
14,QLD,InSymp,121
14,QLD,Critic,14
14,QLD,Isolated,384
14,WA,Killed,9
14,WA,Healed,547
14,WA,Suscep,1541146
14,WA,NoSymp,12
14,WA,InSymp,21
14,WA,Critic,3
14,WA,Isolated,49
14,SA,Killed,4
14,SA,Healed,439
14,SA,Suscep,2239578
14,SA,NoSymp,6
14,SA,InSymp,7
14,SA,Critic,0
14,SA,Isolated,29
14,TAS,Killed,14
14,TAS,Healed,277
14,TAS,Suscep,459432
14,TAS,NoSymp,116
14,TAS,InSymp,129
14,TAS,Critic,16
14,TAS,Isolated,382
14,ACT,Killed,3
14,ACT,Healed,103
14,ACT,Suscep,183832
14,ACT,NoSymp,0
14,ACT,InSymp,0
14,ACT,Critic,0
14,ACT,Isolated,0
14,NT,Killed,0
14,NT,Healed,32
14,NT,Suscep,359534
14,NT,NoSymp,0
14,NT,InSymp,3
14,NT,Critic,0
14,NT,Isolated,14
14,OTH,Killed,0
14,OTH,Healed,0
14,OTH,Suscep,3246
14,OTH,NoSymp,0
14,OTH,InSymp,0
14,OTH,Critic,0
14,OTH,Isolated,0
15,NSW,Killed,43
15,NSW,Healed,3971
15,NSW,Suscep,6854058
15,NSW,NoSymp,1918
15,NSW,InSymp,1167
15,NSW,Critic,117
15,NSW,Isolated,4416
15,VIC,Killed,18
15,VIC,Healed,1520
15,VIC,Suscep,5450040
15,VIC,NoSymp,157
15,VIC,InSymp,182
15,VIC,Critic,21
15,VIC,Isolated,926
15,QLD,Killed,7
15,QLD,Healed,1109
15,QLD,Suscep,4255559
15,QLD,NoSymp,141
15,QLD,InSymp,122
15,QLD,Critic,12
15,QLD,Isolated,398
15,WA,Killed,9
15,WA,Healed,551
15,WA,Suscep,1541145
15,WA,NoSymp,7
15,WA,InSymp,18
15,WA,Critic,1
15,WA,Isolated,56
15,SA,Killed,4
15,SA,Healed,441
15,SA,Suscep,2239578
15,SA,NoSymp,3
15,SA,InSymp,3
15,SA,Critic,0
15,SA,Isolated,34
15,TAS,Killed,14
15,TAS,Healed,293
15,TAS,Suscep,459409
15,TAS,NoSymp,75
15,TAS,InSymp,104
15,TAS,Critic,12
15,TAS,Isolated,459
15,ACT,Killed,3
15,ACT,Healed,103
15,ACT,Suscep,183832
15,ACT,NoSymp,0
15,ACT,InSymp,0
15,ACT,Critic,0
15,ACT,Isolated,0
15,NT,Killed,0
15,NT,Healed,33
15,NT,Suscep,359534
15,NT,NoSymp,0
15,NT,InSymp,3
15,NT,Critic,0
15,NT,Isolated,13
15,OTH,Killed,0
15,OTH,Healed,0
15,OTH,Suscep,3246
15,OTH,NoSymp,0
15,OTH,InSymp,0
15,OTH,Critic,0
15,OTH,Isolated,0
16,NSW,Killed,43
16,NSW,Healed,4181
16,NSW,Suscep,6853799
16,NSW,NoSymp,1664
16,NSW,InSymp,1076
16,NSW,Critic,119
16,NSW,Isolated,4808
16,VIC,Killed,18
16,VIC,Healed,1550
16,VIC,Suscep,5450027
16,VIC,NoSymp,142
16,VIC,InSymp,169
16,VIC,Critic,19
16,VIC,Isolated,939
16,QLD,Killed,7
16,QLD,Healed,1120
16,QLD,Suscep,4255555
16,QLD,NoSymp,106
16,QLD,InSymp,120
16,QLD,Critic,14
16,QLD,Isolated,426
16,WA,Killed,9
16,WA,Healed,560
16,WA,Suscep,1541145
16,WA,NoSymp,5
16,WA,InSymp,18
16,WA,Critic,1
16,WA,Isolated,49
16,SA,Killed,4
16,SA,Healed,445
16,SA,Suscep,2239578
16,SA,NoSymp,2
16,SA,InSymp,3
16,SA,Critic,0
16,SA,Isolated,31
16,TAS,Killed,14
16,TAS,Healed,322
16,TAS,Suscep,459381
16,TAS,NoSymp,46
16,TAS,InSymp,86
16,TAS,Critic,9
16,TAS,Isolated,508
16,ACT,Killed,3
16,ACT,Healed,103
16,ACT,Suscep,183832
16,ACT,NoSymp,0
16,ACT,InSymp,0
16,ACT,Critic,0
16,ACT,Isolated,0
16,NT,Killed,0
16,NT,Healed,34
16,NT,Suscep,359534
16,NT,NoSymp,0
