Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,x coordinate,y coordinate,Location
2018,245,581508,538825,604 Swanston Street,Carlton,Yuan Fang,4512,Takeaway Food Services,Seats - Indoor,24,144.96434,-37.80190,"(-37.80189616, 144.9643373)"
2018,217,511124,511124,183 Elgin Street,Carlton,Gemma Simple Italian,4511,Cafes and Restaurants,Seats - Indoor,60,144.96838,-37.79753,"(-37.79752927, 144.9683843)"
2018,217,511124,511124,183 Elgin Street,Carlton,Gemma Simple Italian,4511,Cafes and Restaurants,Seats - Outdoor,10,144.96838,-37.79753,"(-37.79752927, 144.9683843)"
2018,246,559024,559024,115 Grattan Street,Carlton,NL House,4512,Takeaway Food Services,Seats - Indoor,12,144.96568,-37.80081,"(-37.80080705, 144.9656839)"
2018,246,559024,559024,115 Grattan Street,Carlton,NL House,4512,Takeaway Food Services,Seats - Outdoor,16,144.96568,-37.80081,"(-37.80080705, 144.9656839)"
2018,265,559514,559514,470-496 Swanston Street,Carlton,Arrow On Swanston,4400,Accommodation,Seats - Indoor,100,144.96354,-37.80558,"(-37.80558463, 144.9635407)"
2018,265,559514,559514,470-496 Swanston Street,Carlton,Cafe Crema,4511,Cafes and Restaurants,Seats - Indoor,30,144.96354,-37.80558,"(-37.80558463, 144.9635407)"
2018,252,574430,106250,116 Lygon Street,Carlton,Il Dolce Freddo,4511,Cafes and Restaurants,Seats - Indoor,22,144.96670,-37.80444,"(-37.80443702, 144.966702)"
2018,252,574430,106250,116 Lygon Street,Carlton,Il Dolce Freddo,4511,Cafes and Restaurants,Seats - Outdoor,24,144.96670,-37.80444,"(-37.80443702, 144.966702)"
2018,257,525991,525991,159 Pelham Street,Carlton,Briscola Espresso,4511,Cafes and Restaurants,Seats - Indoor,30,144.96126,-37.80241,"(-37.80241319, 144.9612607)"
2018,257,525991,525991,159 Pelham Street,Carlton,Briscola Espresso,4511,Cafes and Restaurants,Seats - Outdoor,16,144.96126,-37.80241,"(-37.80241319, 144.9612607)"
2018,258,592858,592858,127-133 Leicester Street,Carlton,Bar Scopa,4511,Cafes and Restaurants,Seats - Indoor,14,144.96020,-37.80290,"(-37.80290325, 144.9602001)"
2018,258,592858,592858,127-133 Leicester Street,Carlton,Bar Scopa,4511,Cafes and Restaurants,Seats - Outdoor,16,144.96020,-37.80290,"(-37.80290325, 144.9602001)"
2018,208,101660,101660,330-332 Cardigan Street,Carlton,Le Miel Et Le Lune,4511,Cafes and Restaurants,Seats - Indoor,35,144.96638,-37.79686,"(-37.79685794, 144.966378)"
2018,208,101660,101660,330-332 Cardigan Street,Carlton,Le Miel Et Le Lune,4511,Cafes and Restaurants,Seats - Outdoor,8,144.96638,-37.79686,"(-37.79685794, 144.966378)"
2018,246,101693,101693,156-164 Cardigan Street,Carlton,Jokamz,4511,Cafes and Restaurants,Seats - Indoor,45,144.96563,-37.80133,"(-37.80132622, 144.9656266)"
2018,246,101693,101693,156-164 Cardigan Street,Carlton,Jokamz,4511,Cafes and Restaurants,Seats - Outdoor,4,144.96563,-37.80133,"(-37.80132622, 144.9656266)"
2018,246,101693,101693,156-164 Cardigan Street,Carlton,Don Tojo,4511,Cafes and Restaurants,Seats - Indoor,48,144.96563,-37.80133,"(-37.80132622, 144.9656266)"
2018,246,101693,101693,156-164 Cardigan Street,Carlton,Don Tojo,4511,Cafes and Restaurants,Seats - Outdoor,10,144.96563,-37.80133,"(-37.80132622, 144.9656266)"
2018,226,108228,108228,180 Rathdowne Street,Carlton,Osc&r On Rathdowne,4511,Cafes and Restaurants,Seats - Indoor,30,144.97119,-37.79514,"(-37.79514454, 144.9711906)"
2018,226,108228,108228,180 Rathdowne Street,Carlton,Osc&r On Rathdowne,4511,Cafes and Restaurants,Seats - Outdoor,6,144.97119,-37.79514,"(-37.79514454, 144.9711906)"
2018,204,109359,109359,768-804 Swanston Street,Carlton,The Longing Flavour,4511,Cafes and Restaurants,Seats - Indoor,50,144.96518,-37.79783,"(-37.79783367, 144.9651754)"
2018,266,111078,111078,16-26 Orr Street,Carlton,Hi Chong Qing Cafe & Noodle Bar,4511,Cafes and Restaurants,Seats - Indoor,28,144.96540,-37.80634,"(-37.80634114, 144.9654006)"
2018,266,111078,111078,16-26 Orr Street,Carlton,Hi Chong Qing Cafe & Noodle Bar,4511,Cafes and Restaurants,Seats - Outdoor,8,144.96540,-37.80634,"(-37.80634114, 144.9654006)"
2018,205,573290,573290,740-750 Swanston Street,Carlton,E Dumpling,4511,Cafes and Restaurants,Seats - Indoor,32,144.96476,-37.79900,"(-37.79900074, 144.9647619)"
2018,205,573290,573290,740-750 Swanston Street,Carlton,E Dumpling,4511,Cafes and Restaurants,Seats - Outdoor,8,144.96476,-37.79900,"(-37.79900074, 144.9647619)"
2018,217,612757,612757,8 Raffa Place,Carlton,The Vertue of the Coffee Drink,4511,Cafes and Restaurants,Seats - Indoor,80,144.96838,-37.79769,"(-37.79769238, 144.968384)"
2018,243,109327,109327,701-713 Swanston Street,Carlton,Rydges on Swanston,4400,Accommodation,Seats - Indoor,110,144.96338,-37.80142,"(-37.80141797, 144.9633814)"
2018,243,109327,109327,701-713 Swanston Street,Carlton,Rydges on Swanston,4400,Accommodation,Seats - Outdoor,25,144.96338,-37.80142,"(-37.80141797, 144.9633814)"
2018,216,102715,102715,348 Drummond Street,Carlton,Vincent The Dog,4511,Cafes and Restaurants,Seats - Indoor,21,144.96927,-37.79778,"(-37.79777658, 144.9692675)"
2018,216,102715,102715,348 Drummond Street,Carlton,Vincent The Dog,4511,Cafes and Restaurants,Seats - Outdoor,12,144.96927,-37.79778,"(-37.79777658, 144.9692675)"
2018,250,623345,108266,11 Nicholson Street,Carlton,The Museum Cafe,4511,Cafes and Restaurants,Seats - Indoor,200,144.97161,-37.80397,"(-37.80397443, 144.9716106)"
2018,48,108983,108983,103-137 Spring Street,Melbourne (CBD),Windsor Hotel,4400,Accommodation,Seats - Indoor,100,144.97292,-37.81199,"(-37.81199379, 144.9729236)"
2018,104,103220,103220,419 Elizabeth Street,Melbourne (CBD),Raan Kan Eang,4511,Cafes and Restaurants,Seats - Indoor,40,144.96049,-37.80912,"(-37.80911593, 144.9604889)"
2018,104,103225,103225,433-435 Elizabeth Street,Melbourne (CBD),Thai Culinary,4511,Cafes and Restaurants,Seats - Indoor,26,144.96034,-37.80886,"(-37.80885852, 144.9603439)"
2018,104,103226,103226,437-439 Elizabeth Street,Melbourne (CBD),Menya Ramen,4511,Cafes and Restaurants,Seats - Indoor,94,144.96024,-37.80881,"(-37.80880977, 144.9602363)"
